Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1974","1974","3050","FAO TIER 1","kt","91.0933","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1975","1975","3050","FAO TIER 1","kt","90.2259","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1976","1976","3050","FAO TIER 1","kt","96.587","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1977","1977","3050","FAO TIER 1","kt","89.8692","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1978","1978","3050","FAO TIER 1","kt","103.5874","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1979","1979","3050","FAO TIER 1","kt","98.6854","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1980","1980","3050","FAO TIER 1","kt","98.5917","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1981","1981","3050","FAO TIER 1","kt","100.4971","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1982","1982","3050","FAO TIER 1","kt","102.1227","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1983","1983","3050","FAO TIER 1","kt","95.188","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1984","1984","3050","FAO TIER 1","kt","94.4522","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1985","1985","3050","FAO TIER 1","kt","92.9371","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1986","1986","3050","FAO TIER 1","kt","95.0887","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1987","1987","3050","FAO TIER 1","kt","99.0184","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1988","1988","3050","FAO TIER 1","kt","104.7219","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1989","1989","3050","FAO TIER 1","kt","119.6125","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1990","1990","3050","FAO TIER 1","kt","127.3907","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1991","1991","3050","FAO TIER 1","kt","120.8086","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1992","1992","3050","FAO TIER 1","kt","109.7876","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1993","1993","3050","FAO TIER 1","kt","114.0264","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1994","1994","3050","FAO TIER 1","kt","115.6688","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1995","1995","3050","FAO TIER 1","kt","107.303","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","1996","1996","3050","FAO TIER 1","kt","101.8289","E","Estimated value",""
